,회사,양
70,"Sinopec Luoyang Company, 100,000 bbl/day",값 따로 넣어주기
71,"Sinopec Jingmen Company, 100,000 bbl/day",값 따로 넣어주기
72,"Sinopec Wuhan Company Refinery, 80,000 bbl/day",값 따로 넣어주기
73,"Sinopec CPCC Changling Company Refinery, 100,000 bbl/day",값 따로 넣어주기
74,"Sinopec Jinling Company Refinery, 265,000 bbl/day",값 따로 넣어주기
75,"Sinopec Jiujiang Company Refinery, 98,000 bbl/day",값 따로 넣어주기
76,China National Petroleum Corporation (PetroChina),"Jilin Chemical Refinery, 115,000 bbbl/day"
77,China National Petroleum Corporation (PetroChina),"Dalian Petrochemical Refinery, 144,000 bbl/day"
78,China National Petroleum Corporation (PetroChina),"Fushun Petrochemical Refinery, 186,000 bbl/day"
79,China National Petroleum Corporation (PetroChina),"Jinxi Refinery, 112,000 bbl/day"
80,China National Petroleum Corporation (PetroChina),"Jinzhou Petrochemical Refinery, 112,000 bbl/day"
81,"WEPEC Dalain Refinery, 200,000 bbl/day",값 따로 넣어주기
82,"Sinopec Jinan Company, 21,000 bbl/day",값 따로 넣어주기
83,"Sinopec Qilu Company Refinery, 195,000 bbl/day",값 따로 넣어주기
84,"Sinopec Shanghai Gaoqiao Oil Refinery, 220,000 bbl/day",값 따로 넣어주기
85,"Sinopec Tianjin Company Refinery, 100,000 bbl/day",값 따로 넣어주기
86,China National Petroleum Corporation (PetroChina)," Dushanzi Refinery, 120,000 bbl/day"
87,China National Petroleum Corporation (PetroChina)," Ürümqi Petrochemical, 101,000 bbl/day"
88,"Sinopec Zhenhai Refinery, 345,000 bbl/day",값 따로 넣어주기
89,Bongaigaon Refinery (IOC),Bongaigaon 2.35 million tonnes per year[16]
90,Digboi Refinery (IOC),"Upper Assam, India's Oldest Refinery,  0.62 million tonnes per year[17]"
91,Guwahati Refinery (IOC),"Noonmati, Guwahati,  1.0 million tonnes per year[18]"
92,Numaligarh Refinery (NRL),"Golaghat District, 3.0 million tonnes per year[19]"
93,Barauni Refinery (IOC),"near Patna, 6.0 million tonnes per year[20]"
94,Nayara Refinery (Rosneft),"406,000 bbl/d (64,500 m3/d)"
95,Gujarat Refinery (IOC),Vadodara
96,"Jamnagar Refinery Reliance Industries, Jamnagar, world's largest petroleum refinery,  1,240,000 bbl/d (197,000 m3/d)",값 따로 넣어주기
97,"Panipat Refinery, 15 million tonnes per year.",값 따로 넣어주기
98,Mangalore Refinery (MRPL),"199,000 bbl/d (31,600 m3/d)"
99,Bina (Bharat Oman Refinery Ltd.),"116,000 bbl/d (18,400 m3/d)"
100,"Guru Gobind Singh Refinery, Bathinda with capacity of 11.2 million tonnes per year.",값 따로 넣어주기
101,Haldia Refinery (IOC),"116,000 bbl/d (18,400 m3/d)"
102,Paradip Refinery (IOC),"303,000 bbl/d (48,200 m3/d)"
103,Mathura Refinery (IOC),"156,000 bbl/d (24,800 m3/d)"
104,Mumbai Refinery (HPCL),"107,000 bbl/d (17,000 m3/d)"
105,Mumbai Refinery Mahaul (BPCL),"135,000 bbl/d (21,500 m3/d)"
106,Visakhapatnam Refinery (HPCL),"150,000 bbl/d (24,000 m3/d)"
107,Tatipaka Refinery (Oil and Natural Gas Corporation),"1,600 bbl/d (250 m3/d)"
108,Kochi Refinery (BPCL),"310,000 bbl/d (49,000 m3/d)"
109,Manali Refinery (CPCL),"Chennai 185,000 bbl/d (29,400 m3/d)[21]"
110,Cuddalore Refinery (NOCL),"125,000 bbl/d (19,900 m3/d)[22]"
111,Nagapattnam Refinery (CPCL),"20,000 bbl/d (3,200 m3/d)"
112,Plaju (Musi) Refinery (Pertamina),"135,200 bbl/d (21,500 m3/d)"
113,Balongan Refinery (Pertamina),"125,000 bbl/d (19,900 m3/d)"
114,Dumai Refinery (Pertamina),"120,000 bbl/d (19,000 m3/d)"
115,Cilacap Refinery (Pertamina),"348,000 bbl/d (55,300 m3/d)"
116,Balikpapan Refinery (Pertamina),"260,000 bbl/d (41,000 m3/d)"
117,Sungai Pakning Refinery (Pertamina),"50,000 bbl/d (7,900 m3/d)"
118,Pangkalan Brandan Refinery (not active) (Pertamina),"5,000 bbl/d (790 m3/d)"
119,Cepu Refinery (Pusdiklat Migas Cepu),"3,800 bbl/d (600 m3/d)"
120,Kasim Refinery (Pertamina),"10,000 bbl/d (1,600 m3/d)"
