,회사,양
302,Ingolstadt Refinery (Bayernoil(VARO/Eni/Rosneft/BP)),"262,000 bbl/d (41,700 m3/d) Nelson Complexity Index 7.20[8]"
303,Ingolstadt Refinery (Gunvor),"110,000 bbl/d (17,000 m3/d)"
304,Ruhr Öl Refinery (BP),"266,000 bbl/d (42,300 m3/d) Nelson Complexity Index 8.44[8]"
305,Wilhelmshaven Refinery (Hestya),"300,000 bbl/d (48,000 m3/d) - turned into storage terminal"
306,Rheinland Werk Godorf Cologne Refinery (Royal Dutch Shell),"190,000 bbl/d (30,000 m3/d)"
307,Rheinland Werk Wesseling Cologne Refinery (Royal Dutch Shell),"160,000 bbl/d (25,000 m3/d)"
308,MiRO Karlsruhe Refinery (MiRO(Shell/ExxonMobil/Rosneft/Phillips 66)),"285,000 bbl/d (45,300 m3/d"
309,Burghausen Refinery (OMV),"70,000 bbl/d (11,000 m3/d)"
310,TOTAL Refinery Mitteldeutschland (Total S.A.),"227,000 bbl/d (36,100 m3/d)"
311,Emsland Lingen Refinery (BP),"80,000 bbl/d (13,000 m3/d"
312,Elbe Mineralölwerke Hamburg-Harburg Refinery (Royal Dutch Shell; an agreement to sell to Nynas was announced on 12 December 2011),값 따로 넣어주기
313,Hamburg (Holburn),Refinery (Tamoil
314,Raffinerie Heide (Klesch),"90,000 bbl/d (14,000 m3/d"
315,Aspropyrgos Refinery (Hellenic Petroleum),"148,000 bbl/d (23,500 m3/d)[38]"
316,Corinth Refinery (Motor Oil Hellas),"185,000 bbl/d (29,400 m3/d)[39]"
317,Elefsina Refinery (Hellenic Petroleum),"100,000 bbl/d (16,000 m3/d)"
318,Thessaloniki Refinery (Hellenic Petroleum),"93,000 bbl/d (14,800 m3/d)[38]"
319,Szazhalombatta Refinery (MOL),"161,000 bbl/d (25,600 m3/d)"
320,Whitegate Refinery (Irving Oil),"71,000 bbl/d (11,300 m3/d)"
321,"Sarpom Trecate, Novara Refinery (ExxonMobil 74.1%/ERG 25.9%)","200,000 bbl/d (32,000 m3/d)"
322,Sonatrach (former Esso) Augusta Refinery (Former ExxonMobil),"190,000 bbl/d (30,000 m3/d) - Now property of Sonatrach."
323,Rome Refinery (Total S.A. 77.5%/ERG 22.5%),"90,000 bbl/d (14,000 m3/d) - closed June 2012"
324,Falconara Marittima Ancona Refinery (API),"85,000 bbl/d (13,500 m3/d)"
325,Mantova Refinery (IESItaliana),"55,000 bbl/d (8,700 m3/d) - closed January 2013"
326,Lukoil Impianti Sud Refinery (ISAB ERG),"214,000 bbl/d (34,000 m3/d)"
327,Lukoil Impianti Nord Refinery (ISAB ERG),"160,000 bbl/d (25,000 m3/d)"
328,"Milazzo RAM Refinery (Eni, Kuwait Petroleum Italia SPA)","200,000 bbl/d (32,000 m3/d)"
329,Sannazzaro de' Burgondi Refinery (Eni),"160,000 bbl/d (25,000 m3/d)"
330,Gela Refinery (Eni),"100,000 bbl/d (16,000 m3/d"
331,Taranto Refinery (Eni),"90,000 bbl/d (14,000 m3/d)"
332,Livorno Refinery (Eni),"84,000 bbl/d (13,400 m3/d)"
333,Porto Marghera Venice Refinery (Eni),"70,000 bbl/d (11,000 m3/d"
334,Cremona Refiney (Tamoil),"80,000 bbl/d (13,000 m3/d"
335,Iplom Busalla Refinery (IPLOM),값 따로 넣어주기
336,"Sarroch Refinery, Sardegna (Saras S.p.A.)","300,000 bbl/d (48,000 m3/d)"
337,Mažeikių Refinery (Mazeikiu Nafta - PKN Orlen),"263,000 bbl/d (41,800 m3/d)"
338,Shell Pernis Refinery (Royal Dutch Shell),"416,000 bbl/d (66,100 m3/d)"
339,Botlek (ExxonMobil),"Rotterdam, 195,000 bbl/d (31,000 m3/d)"
340,BP Rotterdam Refinery (BP),"400,000 bbl/d (64,000 m3/d) Nelson Complexity Index 5.29[8]"
341,Gunvor Refinery Europoort (Gunvor),"80,000 bbl/d (13,000 m3/d)"
342,VPR Refinery (Vitol),"80,000 bbl/d (13,000 m3/d)[40]"
343,Zeeland Refinery (Total S.A./Lukoil),"149,000 bbl/d (23,700 m3/d)[41]"
344,OKTA Skopje Refinery (Hellenic Petroleum),"50,000 bbl/d (7,900 m3/d)"
345,Slagen Refinery (ExxonMobil),"110,000 bbl/d (17,000 m3/d)"
346,Mongstad Refinery (Equinor),"200,000 bbl/d (32,000 m3/d)"
347,Plock Refinery (PKN Orlen),"276,000 bbl/d (43,900 m3/d)"
348,Gdansk Refinery (Grupa LOTOS),"210,000 bbl/d (33,000 m3/d) (processing capacity after second distillation startup in 1Q2010)."
349,Czechowice Refinery (Grupa LOTOS),"12,000 bbl/d (1,900 m3/d"
350,Trzebinia Refinery (PKN Orlen),"4,000 bbl/d (640 m3/d)"
351,Jaslo Oil Refinery (Grupa LOTOS),"3,000 bbl/d (480 m3/d"
352,Jedlicze Refinery (PKN Orlen),"2,800 bbl/d (450 m3/d)"
353,Glimar Refinery (Hudson Oil),"3,400 bbl/d (540 m3/d) - all operations (including crude oil processing) terminated 2005, acquired 2011"
354,Porto Refinery (Galp Energia),"110,000 bbl/d (17,000 m3/d)"
355,Sines Refinery (Galp Energia),"220,000 bbl/d (35,000 m3/d)"
356,Arpechim Refinery Piteşti (Petrom/OMV),"70,000 bbl/d (11,000 m3/d) - closed"
357,Astra Refinery (Interagro),"20,000 bbl/d (3,200 m3/d) '- closed"
358,Petrobrazi Refinery Ploieşti (Petrom/OMV),"90,000 bbl/d (14,000 m3/d)"
359,Petromidia Constanţa Refinery (Rompetrol),"100,000 bbl/d (16,000 m3/d)"
360,Petrotel Lukoil Refinery Ploieşti (LUKOIL),"68,000 bbl/d (10,800 m3/d)"
361,Petrolsub Suplacu de Barcău Refinery (Petrom/OMV),"15,000 bbl/d (2,400 m3/d)"
362,RAFO Oneşti (Calder A),"70,000 bbl/d (11,000 m3/d) - closed"
363,Steaua Romană Câmpina Refinery (Omnimpex Chemicals),"15,000 bbl/d (2,400 m3/d) - closed"
364,Vega Ploieşti Refinery (Rompetrol),"20,000 bbl/d (3,200 m3/d)"
365,Orsk and Krasnodar Refinery (Russneft),"217,000 bbl/d (34,500 m3/d)"
366,Syzran Refinery (Rosneft),"213,400 bbl/d (33,930 m3/d)"
367,Novokuibyshevsk Refinery (Rosneft),"191,500 bbl/d (30,450 m3/d)"
368,Yuzhnovladigorskiy Refinery (https://yuzhnovladigorskiy.ru/-/o-nas.html),"191,500 bbl/d (30,450 m3/d)"
369,Kuibyshev Oil Refinery (Rosneft),"139,800 bbl/d (22,230 m3/d)"
370,"Salavatnefteorgsintez Refinery (Gazprom, Salavat)","250,000 bbl/d (40,000 m3/d)"
371,Volgograd Refinery (LUKOIL),"193,000 bbl/d (30,700 m3/d)"
372,Ukhta Refinery (LUKOIL),"72,000 bbl/d (11,400 m3/d)"
373,Perm Refinery (LUKOIL),"235,000 bbl/d (37,400 m3/d)"
374,"NORSI-oil (LUKOIL, Kstovo)","292,000 bbl/d (46,400 m3/d)"
375,Ryazan Refinery (Rosneft),"253,000 bbl/d (40,200 m3/d)"
376,Orsk Refinery (Russneft),"159,000 bbl/d (25,300 m3/d)"
377,Saratov Refinery (Rosneft),"108,000 bbl/d (17,200 m3/d)"
378,Moscow Refinery (Gazprom Neft),"213,000 bbl/d (33,900 m3/d)"
379,Kirishi Refinery (Surgutneftegas),"337,000 bbl/d (53,600 m3/d)"
380,YaNOS Yaroslavl Refinery (Slavneft),"132,000 bbl/d (21,000 m3/d)"
381,Krasnodar Refinery (Russneft),"58,000 bbl/d (9,200 m3/d)"
382,Tuapse Refinery (Rosneft),"85,000 bbl/d (13,500 m3/d)"
383,Nizhnekamsk Refinery (TAIF),"14,000 bbl/d (2,200 m3/d)"
384,Ufa Refinery (Bashneft),"190,000 bbl/d (30,000 m3/d)"
385,Novo-Ufa Refinery (Bashneft),"180,000 bbl/d (29,000 m3/d)"
386,Ufaneftekhim Refinery (Bashneft),"250,000 bbl/d (40,000 m3/d)"
387,Achinsk Refinery (Rosneft),"131,000 bbl/d (20,800 m3/d)"
388,Angarsk Petrochemical Refinery (Rosneft),"194,000 bbl/d (30,800 m3/d)"
389,Khabarovsk Refinery (Alliance),"85,000 bbl/d (13,500 m3/d)"
390,Komsomolsk Refinery (Rosneft),"120,000 bbl/d (19,000 m3/d)"
391,Nizhnevartovsk Refinery (Rosneft),"25,100 bbl/d (3,990 m3/d)"
392,Omsk Oil Refinery (Gazprom Neft),"423,713 bbl/d (67,365.0 m3/d)"
393,"Pančevo Refinery (Naftna Industrija Srbije),",값 따로 넣어주기
394,"Novi Sad Refinery (Naftna Industrija Srbije),",값 따로 넣어주기
395,Hemco Refinery Hemco Lubricants,값 따로 넣어주기
396,Slovnaft Bratislava Refinery (MOL),"110,000 bbl/d (17,000 m3/d)"
397,Petrochema Dubová Refinery (Russian investors),Petrochema
398,Bilbao Refinery (Petronor),"220,000 bbl/d (35,000 m3/d)"
399,Puertollano Refinery (Repsol),"140,000 bbl/d (22,000 m3/d)"
400,Tarragona Refinery (Repsol),"160,000 bbl/d (25,000 m3/d)"
401,Tarragona Asphalt Refinery (ASESA),"20,000 bbl/d (3,200 m3/d)"
402,A Coruña Refinery (Repsol),"125,000 bbl/d (19,900 m3/d)"
403,Cartagena Refinery (Repsol),"220,000 bbl/d (35,000 m3/d)"
404,Tenerife Refinery (CEPSA),"90,000 bbl/d (14,000 m3/d) - To be closed in 2030"
405,Palos de la Frontera Refinery (CEPSA),"200,000 bbl/d (32,000 m3/d)"
406,Gibraltar-San Roque Refinery (CEPSA),"240,000 bbl/d (38,000 m3/d)"
407,Castellon Refinery (BP),"100,000 bbl/d (16,000 m3/d) Nelson Complexity Index 10.58[8]"
408,"Gothenburg Refinery (78,000 bpd refining capacity)",(st1)
409,"Nynäshamn Refinery (90,000 bpd refining capacity)",(Nynas)
410,"Gothenburg Refinery (132,000 bpd refining capacity)",(Preem)
411,"Lysekil Refinery (220,000 bpd refining capacity)",(Preem)
412,Cressier Refinery (VaroEnergy),"68,000 bbl/d (10,800 m3/d)"
413,Collombey-Muraz Refinery (Tamoil),"45,000 bbl/d (7,200 m3/d) - closed end of March 2015"
414,Odessa Refinery (LUKOIL),"70,000 bbl/d (11,000 m3/d)"
415,LINOS Refinery (TNK-BP),"320,000 bbl/d (51,000 m3/d)"
416,Kherson Refinery (Alliance),"36,000 bbl/d (5,700 m3/d)"
417,Kremenchuk Refinery (Ukrtatnafta),"368,500 bbl/d (58,590 m3/d)"
418,Drogobych Refinery (Pryvat),"40,000 bbl/d (6,400 m3/d)"
419,Neftekhimik Prikarpatya Nadvirna Refinery (Pryvat),"39,000 bbl/d (6,200 m3/d)"
420,Coryton Refinery (Petroplus),"175,000 bbl/d (27,800 m3/d) - shut down;converted to terminal in 2012"
421,Fawley Refinery (ExxonMobil),"330,000 bbl/d (52,000 m3/d)"
422,Humber Refinery (Phillips 66),"221,000 bbl/d (35,100 m3/d) Nelson Complexity Index 11.6"
423,Kent Refinery (BP),"4,000,000 tonnes/year - closed 1982"
424,Lindsey Oil Refinery (Total S.A.),"223,000 bbl/d (35,500 m3/d)"
425,Teesside Refinery (Petroplus),"117,000 bbl/d (18,600 m3/d) - closed 2009"
426,Shell Haven Refinery (Royal Dutch Shell),"6,000 tonnes/d - closed 1999"
427,Stanlow Refinery (Essar Oil),"272,000 bbl/d (43,200 m3/d)"
428,"Grangemouth Refinery (Petroineos, a joint venture of Ineos and PetroChina)","205,000 bbl/d (32,600 m3/d)"
429,"Milford Haven Refinery (Murco),135,000 bbl/d (21,500 m3/d)",- closed in November 2014
430,Pembroke Refinery (Valero),"215,000 bbl/d (34,200 m3/d"
431,Aruba Refinery (Valero),"275,000 bbl/d (43,700 m3/d"
432,"Strathcona Refinery, Strathcona County (Imperial Oil)","191,000 bbl/d (30,400 m3/d)"
433,"Scotford Refinery, Strathcona County (Shell Oil Company)","114,000 bbl/d (18,100 m3/d)"
434,"Edmonton Refinery, Strathcona County (Suncor Energy)","142,000 bbl/d (22,600 m3/d)"
435,"Sturgeon Refinery, Sturgeon County (North West Redwater Partnership)","80,000 bbl/d (13,000 m3/d)"
436,"Husky Lloydminster Refinery, Lloydminster (Husky Energy)","30,000 bbl/d (4,800 m3/d)"
437,"Burnaby Refinery, Burnaby (Parkland Fuel)","55,000 bbl/d (8,700 m3/d)"
438,"Prince George Refinery, Prince George (Husky Energy)","12,000 bbl/d (1,900 m3/d)"
439,"Irving Oil Refinery, Saint John (Irving Oil)","320,000 bbl/d (51,000 m3/d)"
440,"North Atlantic Refinery, Come by Chance (North Atlantic Refining)","130,000 bbl/d (21,000 m3/d)"
441,"Nanticoke Refinery, Nanticoke (Imperial Oil)","112,000 bbl/d (17,800 m3/d)"
442,"Sarnia Refinery, Sarnia (Imperial Oil)","121,000 bbl/d (19,200 m3/d)"
443,"Shell Corunna Refinery, Corunna (Shell Canada)","75,000 bbl/d (11,900 m3/d)"
444,"Clarkson Refinery 2, Mississauga, Ontario (HollyFrontier)","15,600 bbl/d (2,480 m3/d)[45]"
445,"Sarnia Refinery, Sarnia (Suncor Energy)","85,000 bbl/d (13,500 m3/d)"
446,"Montreal Refinery, Montreal (Suncor Energy)","137,000 bbl/d (21,800 m3/d)[46]"
447,"Jean-Gaulin Refinery, Lévis, (Valero)","235,000 bbl/d (37,400 m3/d)[46]"
448,"CCRL Refinery Complex, Regina, (FCL))","145,000 bbl/d (23,100 m3/d)"
449,"Moose Jaw Refinery, Moose Jaw (Gibson Energy)","22,000 bbl/d (3,500 m3/d)"
450,Nico López Refinery (Cupet),"Havana, Cuba122,000 bbl/d (19,400 m3/d)"
451,Hermanos Díaz Refinery (Cupet),"Santiago, Cuba 102,500 bbl/d (16,300 m3/d)"
452,Cienfuegos Refinery (Cupet),"Cienfuegos, Cuba 76,000 bbl/d (12,100 m3/d)"
453,Isla Refinery (PDVSA),"320,000 bbl/d (51,000 m3/d)"
454,Puerto Limón Refinery (Recope) (start-up 1967),"not operational since 2011 25,000 bbl/d (4,000 m3/d)"
455,Haina Refinery (REFIDOMSA),"33,000 bbl/d (5,200 m3/d"
456,Refinería Petrolera de Acajutla S.A. de C.V. (Puma Energy),"22,000 bbl/d (3,500 m3/d"
457,Puerto Barrios Refinery (TEXACO-out of service),"12,500 bbl/d (1,990 m3/d)"
458,La Libertad Refinery (Perenco),값 따로 넣어주기
459,Puerto Cortés Refinery (REFTEXA),(TEXACO
460,Kingston Refinery (PetroJam & PDVSA),"50,000 bbl/d (7,900 m3/d)"
461,Fort de France (SARA),"16,000 bbl/d (2,500 m3/d)"
462,Tula Refinery (Pemex),"Tula, Hidalgo 320,000 bbl/d (51,000 m3/d)"
463,Minatitlan Refinery (Pemex),"Minatitlan, Veracruz 167,000 bbl/d (26,600 m3/d)"
464,Cadereyta Refinery (Pemex),"Cadereyta Jiménez, Nuevo León 217,000 bbl/d (34,500 m3/d)"
465,Salamanca Refinery (Pemex),"Salamanca, Guanajuato 192,000 bbl/d (30,500 m3/d)"
466,Francisco I. Madero Refinery (Pemex),"Ciudad Madero, Tamaulipas177,000 bbl/d (28,100 m3/d)"
467,Salina Cruz Refinery (Pemex),"Salina Cruz, Oaxaca 330,000 bbl/d (52,000 m3/d)"
468,Managua Refinery (MANREF)-Managua (Puma Energy),"21,000 bbl/d (3,300 m3/d"
469,Pointe-à-Pierre Refinery (Petrotrin),(Previously Texaco
470,Atmore Refinery (Goodway Refining LLC),"Atmore, 4,100 bbl/d (650 m3/d)[2]"
471,Saraland Refinery (Shell Chemicals by Royal Dutch Shell),"Saraland, 80,000 bbl/d (13,000 m3/d)[47]"
472,Tuscaloosa Refinery (Hunt Refining Company),"Tuscaloosa, 72,000 bbl/d (11,400 m3/d)[48] or 36,000 barrels/ calendar day per EIA[2]"
473,Kenai Refinery (Marathon Petroleum Company),"Kenai, 65,000 bbl/d (10,300 m3/d)"
474,North Pole Refinery (Petro Star by Arctic Slope Regional Corporation),"North Pole, 19,700 bbl/d (3,130 m3/d)"
475,North Pole Refinery (Flint Hills Resources LP by Koch Industries),"North Pole, 127,459 bbl/d (20,264.4 m3/d) (shut down in 2014)[49]"
476,Prudhoe Bay Refinery (BP Exploration Alaska Inc by BP),"Prudhoe Bay, 10,500 bbl/d (1,670 m3/d)"
477,Prudhoe Bay Refinery (ConocoPhillips Alaska by ConocoPhillips),"Prudhoe Bay, 15,000 bbl/d (2,400 m3/d)"
478,Valdez Refinery (Petro Star by Arctic Slope Regional Corporation),"Valdez, 55,000 bbl/d (8,700 m3/d)"
479,El Dorado Refinery (Delek),"El Dorado, 83,000 bbl/d (13,200 m3/d)"
480,Smackover Refinery (Cross Oil Refining & Marketing Inc by Martin Midstream Partners LP),"Smackover, 7,500 bbl/d (1,190 m3/d)"
481,Bakersfield Refinery (Delek),"Bakersfield, 66,000 bbl/d (10,500 m3/d)[50] (mostly shut down since 2013)[51]"
482,Bakersfield Refinery (Kern Oil & Refining Co),"Bakersfield, 26,000 bbl/d (4,100 m3/d)[50]"
483,Bakersfield Refinery (San Joaquin Refining Co),"Bakersfield, 15,000 bbl/d (2,400 m3/d)[50]"
484,Benicia Refinery (Valero),"Benicia, 145,000 bbl/d (23,100 m3/d),[50] Nelson Complexity Index 16.1[42]"
485,Carson Refinery (Tesoro),"Carson, 257,300 bbl/d (40,910 m3/d),[50] Nelson Complexity Index 12.07[8]"
486,El Segundo Refinery (Chevron),"El Segundo, 269,000 bbl/d (42,800 m3/d)[50]"
487,Golden Eagle Refinery (Tesoro),"Martinez, 166,000 bbl/d (26,400 m3/d)[50]"
488,Long Beach Refinery (Delek),"Long Beach, 26,000 bbl/d (4,100 m3/d)[50]"
489,Los Angeles Refinery (Phillips 66),"Wilmington and Carson, 139,000 bbl/d (22,100 m3/d)[50]"
490,Los Angeles Refinery (Marathon Petroleum Company),"Wilmington, 104,500 bbl/d (16,610 m3/d)[50]"
491,Martinez Refinery (PBF Energy),"Martinez, 156,400 bbl/d (24,870 m3/d)[50]"
492,"Paramount Refinery (Paramount Petroleum, subsidiary of Alon USA)","Paramount, 50,000 bbl/d (7,900 m3/d)[50]"
493,Richmond Refinery (Chevron),"Richmond, 245,271 bbl/d (38,995.0 m3/d)[50]"
494,San Francisco Refinery (Phillips 66) (Phillips 66),"Rodeo and Arroyo Grande, 120,200 bbl/d (19,110 m3/d)[50]"
495,Santa Maria Refinery (Greka Energy),"Santa Maria, 9,500 bbl/d (1,510 m3/d)[50]"
496,"South Gate Refinery (Lunday Thagard Co, subsidiary of World Oil Corp)","South Gate, 8,500 bbl/d (1,350 m3/d)[50]"
497,Torrance Refinery (PBF Energy),"Torrance, 149,500 bbl/d (23,770 m3/d) 14.9 Nelson Complexity Index[50][52]"
498,Wilmington Asphalt Refinery (Valero),"Wilmington, 6,300 bbl/d (1,000 m3/d)[50]"
499,Wilmington Refinery (Valero),"Wilmington, 85,000 bbl/d (13,500 m3/d),[2] Nelson Complexity Index 15.9[42]"
500,Commerce City Refinery (Suncor Energy),"Commerce City, 103,000 bbl/d (16,400 m3/d)[2]"
501,Delaware City Refinery (Delaware City Refining Co LLC by PBF Energy),"Delaware City, 182,200 bbl/d (28,970 m3/d)[2] Nelson Complexity Index 11.3[53]"
502,Savannah Refinery (Nustar Asphalt Refining LLC by NuStar Energy),"Savannah, (Asphalt Refinery) 28,000 bbl/d (4,500 m3/d)"
503,"Kapolei Refinery (Par Hawaii Refining, LLC a subsidiary of Par Pacific Holdings)",Ewa Beach (Kapolei
504,Lemont Refinery (Citgo),"Lemont, 175,940 bbl/d (27,972 m3/d)"
505,Joliet Refinery (ExxonMobil),"Joliet, 238,600 bbl/d (37,930 m3/d)"
506,Robinson Refinery (Marathon Petroleum Company),"Robinson, 245,000 bbl/d (39,000 m3/d)"
507,"Wood River Refinery (WRB Refining LP by Phillips 66/Cenovus, Roxana, 336,000 bbl/d (53,400 m3/d)",Nelson Complexity Index 9.8
508,Whiting Refinery (BP Products Inc by BP),"Whiting, 430,000 bbl/d (68,000 m3/d"
509,Mount Vernon Refinery (Countrymark Co-op),"Mount Vernon, 27,100 bbl/d (4,310 m3/d)"
510,Coffeyville Refinery (Coffeyville Resources by CVR Energy),"Coffeyville, 115,000 bbl/d (18,300 m3/d) Nelson Complexity Index 12.9[54]"
511,El Dorado Refinery (HollyFrontier),"El Dorado, 138,000 bbl/d (21,900 m3/d) Nelson Complexity Index 11.8[55]"
512,McPherson Refinery (CHS Inc.),"McPherson, 100,000 bbl/d (16,000 m3/d)[56]"
513,Catlettsburg Refinery (Marathon Petroleum Company),"Catlettsburg, 277,000 bbl/d (44,000 m3/d)"
514,Somerset Refinery (Continental Refining Company),"Somerset, 5,500 bbl/d (870 m3/d)[57]"
515,Alliance Refinery (Phillips 66),"Belle Chasse, 253,600 bbl/d (40,320 m3/d) Nelson Complexity Index 12.0"
516,Baton Rouge Refinery (ExxonMobil),"Baton Rouge, 540,000 bbl/d (86,000 m3/d)"
517,Chalmette Refinery (PBF Energy),"Chalmette, 189,000 bbl/d (30,000 m3/d) Nelson Complexity Index 12.7[58]"
518,Convent Refinery (Shell Oil Company),"Convent, 235,000 bbl/d (37,400 m3/d)"
519,Cotton Valley Refinery (Calumet Specialty Products Partners),"Cotton Valley, 13,020 bbl/d (2,070 m3/d)"
520,Garyville Refinery (Marathon Petroleum Company),"Garyville, 556,000 bbl/d (88,400 m3/d)"
521,Krotz Springs Refinery (Delek),"Krotz Springs, 80,000 bbl/d (13,000 m3/d)"
522,Lake Charles Refinery (Calcasieu Refining),"Lake Charles, 80,000 bbl/d (13,000 m3/d)"
523,Lake Charles Refinery (Citgo),"Lake Charles, 427,800 bbl/d (68,010 m3/d)"
524,"Lake Charles Refinery,(Pelican Refining)","Lake Charles, 150,000 bbl/d (24,000 m3/d)"
525,Lake Charles Refinery (Phillips 66),"Westlake, 260,000 bbl/d (41,000 m3/d) Nelson Complexity Index 11.2[59]"
526,Meraux Refinery (Valero),"Meraux, 125,000 bbl/d (19,900 m3/d"
527,Norco Refinery (Shell Oil Company),"Norco, 238,000 bbl/d (37,800 m3/d)"
528,Port Allen Refinery (Placid Refining),"Port Allen, 60,000 bbl/d (9,500 m3/d)[60]"
529,Princeton Refinery (Calumet Specialty Products Partners),"Princeton, 8,300 bbl/d (1,320 m3/d)"
530,Shreveport Refinery (Calumet Specialty Products Partners),"Shreveport, 57,000 bbl/d (9,100 m3/d)"
531,St. Charles Refinery (Valero),"Norco, 215,000 bbl/d (34,200 m3/d"
532,"St. Rose Refinery (Shell Oil Company, St. Rose, 45,000 bbl/d (7,200 m3/d)",값 따로 넣어주기
533,Marathon Detroit Refinery (Marathon Petroleum Company),"Detroit, 139,000 bbl/d (22,100 m3/d)"
534,Pine Bend Refinery (Flint Hills Resources by Koch Industries),"Rosemount, 339,000 bbl/d (53,900 m3/d)"
535,St. Paul Park Refinery (Marathon Petroleum Company),"St. Paul Park, 97,800 bbl/d (15,550 m3/d) Nelson Complexity Index 11.5[61]"
536,Pascagoula Refinery (Chevron),"Pascagoula, 330,000 bbl/d (52,000 m3/d)"
537,Vicksburg Refinery (Ergon),"Vicksburg, 23,000 bbl/d (3,700 m3/d)"
538,Rogerslacy Refinery (Hunt Southland Refining),"Sandersville 11,000 bbl/d (1,700 m3/d)"
539,"Greenville Refinery, Scott Petroleum, Biodiesel Oil Refinery",값 따로 넣어주기
540,Billings Refinery (Phillips 66),"Billings, 59,000 bbl/d (9,400 m3/d)"
541,Billings Refinery (ExxonMobil),"Billings, 60,000 bbl/d (9,500 m3/d)"
542,Calumet Montana Refining (Calumet Specialty Products Partners),"Great Falls, 24,500 bbl/d (3,900 m3/d)"
543,Laurel Refinery (CHS Inc.),"Laurel, 59,600 bbl/d (9,480 m3/d)"
544,Eagle Springs Refinery (Foreland Refining),"Ely, 2,000 bbl/d (320 m3/d)"
545,Bayway Refinery (Phillips 66),"Linden, 238,000 bbl/d (37,800 m3/d)"
546,Eagle Point Refinery (Sunoco),"Westville,[62] 145,000 bbl/d (23,100 m3/d) - closed in 2010[2]"
547,Paulsboro Asphalt Refinery (Axeon),"Paulsboro[63] 70,000 bbl/d (11,000 m3/d"
548,Paulsboro Refinery (PBF Energy),"Paulsboro 160,000 bbl/d (25,000 m3/d"
549,Perth Amboy Refinery (Chevron),"Perth Amboy  80,000 bbl/d (13,000 m3/d) - closed in 2012[2]"
550,Port Reading Refinery (Hess),"Port Reading  70,000 bbl/d (11,000 m3/d) - closed in 2013[66]"
551,Navajo Refinery (HollyFrontier),"Artesia, 102,000 bbl/d (16,200 m3/d) Nelson Complexity Index 11.8[55]"
552,Bloomfield Refinery (Western Refining),"Bloomfield, 16,800 bbl/d (2,670 m3/d) - closed 2012[2]"
553,Ciniza Refinery (Marathon Petroleum Company),"Gallup, 25,500 bbl/d (4,050 m3/d)"
554,Mandan Refinery (Marathon Petroleum),"Mandan, 73,860 bbl/d (11,743 m3/d)"
555,Dakota Prairie Refinery (Marathon Petroleum Company),"Dickinson, 19,000 bbl/d (3,000 m3/d)"
556,Canton Refinery (Marathon Petroleum),"Canton, 93,000 bbl/d (14,800 m3/d)"
557,Lima Refinery (Husky Energy),"Lima, 155,000 bbl/d (24,600 m3/d)"
558,Toledo Refinery (BP/Husky Energy),"Toledo, 152,000 bbl/d (24,200 m3/d"
559,Toledo Refinery (PBF),(PBF Energy
560,Ardmore Refinery (Valero),"Ardmore, 86,000 bbl/d (13,700 m3/d"
561,Ponca City Refinery (Phillips 66),"Ponca City, 200,000 bbl/d (32,000 m3/d)"
562,Tulsa Refinery East & West (HollyFrontier),"Tulsa, 155,300 bbl/d (24,690 m3/d) Nelson Complexity Index 14.0[67]"
563,Wynnewood Refinery (Wynnewood Refining by CVR Energy),"Wynnewood, 70,000 bbl/d (11,000 m3/d"
564,Bradford Refinery (American Refining Group),"Bradford, 11,000 bbl/d (1,700 m3/d)"
565,Marcus Hook Refinery (Sunoco),"Marcus Hook, 175,000 bbl/d (27,800 m3/d) - closed 2011[2]"
566,Philadelphia Refinery (Philadelphia Energy Solutions by Carlyle Group),"Philadelphia 335,000 bbl/d (53,300 m3/d) Nelson Complexity Index 9.3"
567,Trainer Refinery (Monroe Energy by Delta Air Lines),"Trainer, 185,000 bbl/d (29,400 m3/d)"
568,"Warren Refinery, United Refining Company, Warren, 65,000 bbl/d (10,300 m3/d)",값 따로 넣어주기
569,Wamsutta Oil Refinery (historical),McClintocksville
570,Memphis Refinery (Valero),"Memphis 180,000 bbl/d (29,000 m3/d"
571,Baytown Refinery (ExxonMobil),"Baytown, 560,500 bbl/d (89,110 m3/d)"
572,Big Spring Refinery (Delek),"Big Spring, 70,000 bbl/d (11,000 m3/d)"
573,Beaumont Refinery (ExxonMobil),"Beaumont, 344,600 bbl/d (54,790 m3/d)"
574,"Borger Refinery (WRB Refining LP by Phillips 66/Cenovus, Borger 146,000 bbl/d (23,200 m3/d)",Nelson Complexity Index 12.3[59]
575,Corpus Christi Complex (Flint Hills Resources),"Corpus Christi, 290,000 bbl/d (46,000 m3/d)"
576,Corpus Christi Refinery (Citgo),"Corpus Christi, 157,500 bbl/d (25,040 m3/d)"
577,Corpus Christi East & West Refinery (Valero),"Corpus Christi, 205,000 bbl/d (32,600 m3/d"
578,Deer Park Refinery (Shell Oil / PEMEX),"Deer Park, 316,600 bbl/d (50,340 m3/d)"
579,El Paso Refinery (Marathon Petroleum),"El Paso, 122,000 bbl/d (19,400 m3/d)"
580,Galveston Bay Refinery (Marathon Petroleum),"Texas City, 585,000 bbl/d (93,000 m3/d)"
581,Houston Refinery (LyondellBasell),"Houston, 263,776 bbl/d (41,937.0 m3/d)"
582,Houston Refinery (Valero),"Houston, 100,000 bbl/d (16,000 m3/d"
583,Independent Refinery (Stratnor),"Houston, 100,000 bbl/d (16,000 m3/d)"
